,time,open,high,low,close,volume,ticker
336,2016-05-17,10350,10430,10330,10390,354380,FPT
337,2016-05-18,10470,10570,10410,10410,692880,FPT
338,2016-05-19,10470,10470,10390,10410,186020,FPT
339,2016-05-20,10410,10460,10410,10460,485060,FPT
340,2016-05-23,10550,10550,10430,10430,345150,FPT
341,2016-05-24,10460,10470,10410,10410,369180,FPT
342,2016-05-25,10430,10460,10390,10410,598370,FPT
343,2016-05-26,10430,10460,10360,10360,1328870,FPT
344,2016-05-27,10380,10540,10350,10520,543580,FPT
345,2016-05-30,10520,10620,10520,10540,447160,FPT
346,2016-05-31,10570,10570,10460,10460,589350,FPT
347,2016-06-01,10520,10520,10460,10460,519620,FPT
348,2016-06-02,10520,10520,10430,10460,318100,FPT
349,2016-06-03,10480,10480,10410,10430,400290,FPT
350,2016-06-06,10430,10430,10300,10350,754110,FPT
351,2016-06-07,10410,10410,10300,10380,559610,FPT
352,2016-06-08,10380,10430,10350,10430,516630,FPT
353,2016-06-09,10430,10430,10380,10380,325390,FPT
354,2016-06-10,10350,10410,10350,10380,475190,FPT
355,2016-06-13,10380,10380,10350,10350,237230,FPT
356,2016-06-14,10340,10380,10340,10380,242560,FPT
357,2016-06-15,10380,10380,10300,10340,414560,FPT
358,2016-06-16,10380,10410,10340,10350,359320,FPT
359,2016-06-17,10350,10380,10340,10350,206120,FPT
360,2016-06-20,10380,10990,10350,10940,1877120,FPT
361,2016-06-21,10990,11230,10910,10940,1442710,FPT
362,2016-06-22,10890,10990,10860,10860,300480,FPT
363,2016-06-23,10840,10860,10740,10740,826170,FPT
364,2016-06-24,10690,10690,10020,10480,2562810,FPT
365,2016-06-27,10480,10620,10300,10570,587560,FPT
366,2016-06-28,10570,10620,10520,10570,328400,FPT
367,2016-06-29,10540,10890,10540,10760,1250570,FPT
368,2016-06-30,10890,10910,10720,10720,669690,FPT
369,2016-07-01,10760,10840,10720,10740,579110,FPT
370,2016-07-04,10760,10940,10760,10890,863920,FPT
371,2016-07-05,10890,10940,10810,10810,791050,FPT
372,2016-07-06,10780,10890,10740,10840,602040,FPT
373,2016-07-07,10940,11250,10860,11100,1592870,FPT
374,2016-07-08,11120,11380,11120,11170,1594930,FPT
375,2016-07-11,11200,11290,10910,10910,1035540,FPT
376,2016-07-12,10910,11020,10760,10910,744580,FPT
377,2016-07-13,10910,11100,10910,10990,751090,FPT
378,2016-07-14,11020,11250,10990,11020,1880280,FPT
379,2016-07-15,10990,11070,10910,10910,730200,FPT
380,2016-07-18,10890,10940,10810,10910,578400,FPT
381,2016-07-19,10940,10940,10690,10740,1148610,FPT
382,2016-07-20,10740,10780,10660,10660,575060,FPT
383,2016-07-21,10690,10760,10640,10660,448120,FPT
384,2016-07-22,10640,10640,10480,10600,958530,FPT
385,2016-07-25,10600,10620,10540,10540,375880,FPT
386,2016-07-26,10570,10570,10460,10480,469520,FPT
387,2016-07-27,10600,10690,10570,10600,554520,FPT
388,2016-07-28,10600,10690,10570,10600,512680,FPT
389,2016-07-29,10600,10620,10520,10520,241530,FPT
390,2016-08-01,10520,10600,10460,10540,419730,FPT
391,2016-08-02,10540,10540,10380,10410,806630,FPT
392,2016-08-03,10410,10460,10350,10380,467420,FPT
393,2016-08-04,10380,10460,10350,10350,340270,FPT
394,2016-08-05,10350,10430,10300,10380,461730,FPT
395,2016-08-08,10460,10520,10410,10410,274690,FPT
396,2016-08-09,10460,10480,10410,10480,271030,FPT
397,2016-08-10,10430,10540,10430,10540,236760,FPT
398,2016-08-11,10600,10720,10570,10720,585310,FPT
399,2016-08-12,10760,10860,10640,10660,527660,FPT
400,2016-08-15,10660,10690,10640,10660,281220,FPT
401,2016-08-16,10760,11020,10660,10940,1933670,FPT
402,2016-08-17,10940,11150,10890,11070,1354570,FPT
403,2016-08-18,11070,11290,11020,11040,1044090,FPT
404,2016-08-19,11100,11100,10860,10860,662470,FPT
405,2016-08-22,10740,10780,10640,10640,944470,FPT
406,2016-08-23,10720,10740,10620,10690,443570,FPT
407,2016-08-24,10720,10860,10720,10760,749230,FPT
408,2016-08-25,10780,10890,10740,10860,601280,FPT
409,2016-08-26,10860,11120,10860,11020,2217420,FPT
410,2016-08-29,11070,11150,10910,10910,996310,FPT
411,2016-08-30,10890,10990,10890,10910,529860,FPT
412,2016-08-31,10990,11380,10940,11250,3190540,FPT
413,2016-09-01,11340,11540,11290,11400,2145860,FPT
414,2016-09-05,11400,11480,11300,11400,964870,FPT
415,2016-09-06,11380,11480,11340,11340,1385380,FPT
416,2016-09-07,11300,11300,11150,11300,1332450,FPT
417,2016-09-08,11380,11850,11340,11690,3243480,FPT
418,2016-09-09,11790,11920,11660,11710,1833910,FPT
419,2016-09-12,11660,11690,11510,11540,1220220,FPT
420,2016-09-13,11540,11620,11400,11590,1151590,FPT
421,2016-09-14,11580,11780,11540,11660,1283090,FPT
422,2016-09-15,11660,11660,11400,11480,1111400,FPT
423,2016-09-16,11400,11540,11380,11540,855440,FPT
424,2016-09-19,11630,11660,11480,11600,944500,FPT
425,2016-09-20,11660,11760,11590,11700,1374570,FPT
426,2016-09-21,11710,11760,11630,11660,872200,FPT
427,2016-09-22,11660,12160,11660,11950,2821740,FPT
428,2016-09-23,12020,12200,12000,12160,2331180,FPT
429,2016-09-26,12200,12350,12200,12240,1938720,FPT
430,2016-09-27,12230,12240,12120,12240,2011410,FPT
431,2016-09-28,12210,12420,12200,12270,1675680,FPT
432,2016-09-29,12200,12290,12080,12140,1885090,FPT
433,2016-09-30,12160,12160,11970,11970,1725770,FPT
434,2016-10-03,11980,12110,11870,11970,1063670,FPT
435,2016-10-04,12030,12140,11790,12000,1945280,FPT
436,2016-10-05,12050,12050,11970,12000,482560,FPT
437,2016-10-06,12000,12050,11810,11810,808750,FPT
438,2016-10-07,11830,11870,11460,11540,2656510,FPT
439,2016-10-10,11540,11540,11170,11170,2105790,FPT
440,2016-10-11,11170,11400,11050,11400,1576130,FPT
441,2016-10-12,11380,11430,11200,11230,737050,FPT
442,2016-10-13,11200,11340,11120,11290,455610,FPT
443,2016-10-14,11250,11300,11230,11230,556120,FPT
444,2016-10-17,11250,11250,11120,11120,799570,FPT
445,2016-10-18,11120,11230,11020,11170,461070,FPT
446,2016-10-19,11150,11320,11150,11230,484690,FPT
447,2016-10-20,11300,11340,11130,11150,452160,FPT
448,2016-10-21,11150,11220,11120,11120,368030,FPT
449,2016-10-24,11120,11170,11040,11070,683800,FPT
450,2016-10-25,11070,11250,10970,11070,798790,FPT
451,2016-10-26,11070,11170,10990,11020,498350,FPT
452,2016-10-27,11100,11100,11020,11070,320770,FPT
453,2016-10-28,11070,11170,11050,11170,623240,FPT
454,2016-10-31,11200,11250,11150,11150,366100,FPT
455,2016-11-01,11170,11170,11100,11100,287980,FPT
456,2016-11-02,11100,11120,10910,10910,607470,FPT
457,2016-11-03,10890,10890,10690,10760,819360,FPT
458,2016-11-04,10760,10860,10760,10800,216080,FPT
459,2016-11-07,10780,10990,10780,10970,270420,FPT
460,2016-11-08,10970,11080,10970,10970,357870,FPT
461,2016-11-09,10970,10970,10540,10810,1259800,FPT
462,2016-11-10,10890,10990,10890,10940,279210,FPT
463,2016-11-11,10990,11130,10970,11020,549240,FPT
464,2016-11-14,10940,11020,10910,10960,357500,FPT
465,2016-11-15,10970,11070,10940,11070,410010,FPT
466,2016-11-16,11100,11120,10970,11030,483700,FPT
467,2016-11-17,11030,11030,10910,10910,342390,FPT
468,2016-11-18,10890,11050,10890,11040,272520,FPT
469,2016-11-21,11070,11120,10970,11040,398940,FPT
470,2016-11-22,11070,11110,11020,11040,475660,FPT
471,2016-11-23,11100,11300,11040,11270,933400,FPT
472,2016-11-24,11230,11470,11230,11360,1109900,FPT
473,2016-11-25,11380,11380,11250,11270,523930,FPT
474,2016-11-28,11270,11270,11070,11150,401290,FPT
475,2016-11-29,11150,11150,10940,11050,488970,FPT
476,2016-11-30,11020,11110,10990,11110,284250,FPT
477,2016-12-01,11070,11230,11070,11070,247450,FPT
478,2016-12-02,11070,11110,10990,11000,265850,FPT
479,2016-12-05,11020,11070,10910,10910,320460,FPT
480,2016-12-06,10970,10970,10840,10840,407380,FPT
481,2016-12-07,10840,10890,10780,10780,283670,FPT
482,2016-12-08,10890,10890,10810,10820,145770,FPT
483,2016-12-09,10890,11150,10890,10990,355440,FPT
484,2016-12-12,11020,11020,10810,10810,372110,FPT
485,2016-12-13,10810,10850,10720,10720,359950,FPT
486,2016-12-14,10720,10810,10710,10760,394960,FPT
487,2016-12-15,10760,10780,10720,10730,282950,FPT
488,2016-12-16,10750,10780,10720,10780,298690,FPT
489,2016-12-19,10780,10940,10780,10940,218900,FPT
490,2016-12-20,10910,10990,10890,10910,293780,FPT
491,2016-12-21,10910,10960,10880,10890,377770,FPT
